Journal ID;Print ISSN;Online ISSN;Original Title;International Title;Country of Publication;ERIH PLUS Disciplines;OECD Classifications;[Last Updated]
"486254";"1989-3477";"";"@tic.revista d'innovació educativa";"@tic.revista d'innovació educativa";"Spain";"Interdisciplinary research in the Social Sciences, Pedagogical & Educational Research";"Educational Sciences; Other Social Sciences";"2015-06-25 13:48:26"
"488561";"";"2341-0515";"[i2] Investigación e Innovación en Arquitectura y Territorio";"[i2] Investigación e Innovación en Arquitectura y Territorio";"Spain";"Art and Art History, Cultural Studies, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Pedagogical & Educational Research, Science and Technology Studies";"Arts (Arts, History of Arts, Performing Arts, Music); Educational Sciences; Languages and Literature; Other Humanities; Other Social Sciences; Social and Economic Geography";"2016-04-18 17:34:55"
"504135";"";"2068-3472";"[Inter]sections";"[Inter]sections";"Romania";"Gender Studies, Cultural Studies, Literature, Interdisciplinary research in the Humanities";"Languages and Literature; Other Humanities; Sociology";"2022-10-18 08:40:28"
"495209";"2250-4591";"2346-9986";"+E: Revista de Extensión Universitaria";"+E: Revista de Extensión Universitaria";"Argentina";"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences";"Other Humanities; Other Social Sciences";"2023-02-02 17:14:12"
"488332";"";"0719-5737";"100-Cs";"100-Cs";"Chile";"Interdisciplinary research in the Social Sciences";"Other Social Sciences";"2018-04-26 16:33:26"
"502177";"0138-645X";"1729-6935";"Revista Científica 16 de Abril";"16 de Abril";"Cuba";"Science and Technology Studies";"Other Social Sciences";"2021-09-06 11:00:42"
"498410";"0210-7287";"2445-2262";"1616: Anuario de Literatura Comparada";"1616";"Spain";"Literature";"Languages and Literature";"2020-03-24 15:16:51"
"471316";"1652-4772";"2001-9866";"1700-tal: Nordic Journal for Eighteenth-Century Studies";"1700-tal: Nordic Journal for Eighteenth-Century Studies";"Sweden";"Art and Art History, Classical Studies, Cultural Studies, Gender Studies, History, History & Philosophy of Science, Interdisciplinary research in the Humanities, Literature, Musicology, Philosophy, Religious Studies and Theology, Pedagogical & Educational Research";"Arts (Arts, History of Arts, Performing Arts, Music); Educational Sciences; History and Archaeology; Languages and Literature; Other Humanities; Philosophy, Ethics and Religion; Sociology";"2023-02-02 17:14:12"
"489168";"";"1755-1560";"19: interdisciplinary studies in the long nineteenth century";"19: interdisciplinary studies in the long nineteenth century";"United Kingdom";"History, Cultural Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences";"History and Archaeology; Languages and Literature; Other Humanities; Other Social Sciences";"2023-02-02 17:14:12"
"499906";"1889-1152";"2339-6806";"Segle XX revista catalana d'història";"20th century Catalan history Journal";"Spain";"History, Interdisciplinary research in the Humanities";"History and Archaeology; Other Humanities";"2020-12-03 11:57:17"
"497761";"2603-3089";"2603-3801";"Медии и комуникации на 21. век";"21st Century Media and Communications";"Bulgaria";"Media Studies and Communication";"Media and Communications";"2019-12-16 11:30:17"
"489558";"";"2254-3376";"3C Empresa. Investigación y pensamiento crítico";"3C Empresa. Investigación y pensamiento crítico";"Spain";"Business and Management, Economics";"Economics and Business";"2020-07-06 19:02:28"
"489559";"";"2254-4143";"3C Tecnología: Glosas de innovación aplicadas a la pyme";"3C Tecnología";"Spain";"Science and Technology Studies, Social Statistics and Informatics";"Media and Communications; Other Social Sciences";"2016-10-07 14:42:46"
"489561";"";"2254-6529";"C TIC. Cuadernos de desarrollo aplicados a las TIC";"3C TIC";"Spain";"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences";"Other Humanities; Other Social Sciences";"2020-07-06 19:04:27"
"494618";"2329-7662";"2329-7670";"3D Printing and Additive Manufacturing";"3D Printing and Additive Manufacturing";"United States";"Science and Technology Studies";"Other Social Sciences";"2020-05-07 12:44:12"
